U+A000	ꀀ	uA000
U+A33D	ꌽ	uA33D
U+A33E	ꌾ	uA33E
U+A33F	ꌿ	uA33F
U+A340	ꍀ	uA340
U+A341	ꍁ	uA341
U+A342	ꍂ	uA342
U+A343	ꍃ	uA343
U+A344	ꍄ	uA344
U+A345	ꍅ	uA345
U+A346	ꍆ	uA346
U+A347	ꍇ	uA347
U+A348	ꍈ	uA348
U+A349	ꍉ	uA349
U+A34A	ꍊ	uA34A
U+A34B	ꍋ	uA34B
U+A34C	ꍌ	uA34C
U+A34D	ꍍ	uA34D
U+A34E	ꍎ	uA34E
U+A34F	ꍏ	uA34F
U+A350	ꍐ	uA350
U+A351	ꍑ	uA351
U+A352	ꍒ	uA352
U+A353	ꍓ	uA353
U+A354	ꍔ	uA354
U+A355	ꍕ	uA355
U+A356	ꍖ	uA356
U+A357	ꍗ	uA357
U+A358	ꍘ	uA358
U+A359	ꍙ	uA359
U+A35A	ꍚ	uA35A
U+A35B	ꍛ	uA35B
U+A35C	ꍜ	uA35C
U+A35D	ꍝ	uA35D
U+A35E	ꍞ	uA35E
U+A35F	ꍟ	uA35F
U+A360	ꍠ	uA360
U+A361	ꍡ	uA361
U+A362	ꍢ	uA362
U+A363	ꍣ	uA363
U+A364	ꍤ	uA364
U+A365	ꍥ	uA365
U+A366	ꍦ	uA366
U+A367	ꍧ	uA367
U+A368	ꍨ	uA368
U+A369	ꍩ	uA369
U+A36A	ꍪ	uA36A
U+A36B	ꍫ	uA36B
U+A36C	ꍬ	uA36C
U+A36D	ꍭ	uA36D
U+A36E	ꍮ	uA36E
U+A36F	ꍯ	uA36F
U+A370	ꍰ	uA370
U+A371	ꍱ	uA371
U+A372	ꍲ	uA372
U+A373	ꍳ	uA373
U+A374	ꍴ	uA374
U+A375	ꍵ	uA375
U+A376	ꍶ	uA376
U+A377	ꍷ	uA377
U+A378	ꍸ	uA378
U+A379	ꍹ	uA379
U+A37A	ꍺ	uA37A
U+A37B	ꍻ	uA37B
U+A37C	ꍼ	uA37C
U+A37D	ꍽ	uA37D
U+A37E	ꍾ	uA37E
U+A37F	ꍿ	uA37F
U+A380	ꎀ	uA380
U+A381	ꎁ	uA381
U+A382	ꎂ	uA382
U+A383	ꎃ	uA383
U+A384	ꎄ	uA384
U+A385	ꎅ	uA385
U+A386	ꎆ	uA386
U+A387	ꎇ	uA387
U+A388	ꎈ	uA388
U+A389	ꎉ	uA389
U+A38A	ꎊ	uA38A
U+A38B	ꎋ	uA38B
U+A38C	ꎌ	uA38C
U+A38D	ꎍ	uA38D
U+A38E	ꎎ	uA38E
U+A38F	ꎏ	uA38F
U+A390	ꎐ	uA390
U+A391	ꎑ	uA391
U+A392	ꎒ	uA392
U+A393	ꎓ	uA393
U+A394	ꎔ	uA394
U+A395	ꎕ	uA395
U+A396	ꎖ	uA396
U+A397	ꎗ	uA397
U+A398	ꎘ	uA398
U+A399	ꎙ	uA399
U+A39A	ꎚ	uA39A
U+A39B	ꎛ	uA39B
U+A39C	ꎜ	uA39C
U+A39D	ꎝ	uA39D
U+A39E	ꎞ	uA39E
U+A39F	ꎟ	uA39F
U+A3A0	ꎠ	uA3A0
U+A3A1	ꎡ	uA3A1
U+A3A2	ꎢ	uA3A2
U+A3A3	ꎣ	uA3A3
U+A3A4	ꎤ	uA3A4
U+A3A5	ꎥ	uA3A5
U+A3A6	ꎦ	uA3A6
U+A3A7	ꎧ	uA3A7
U+A3A8	ꎨ	uA3A8
U+A3A9	ꎩ	uA3A9
U+A3AA	ꎪ	uA3AA
U+A3AB	ꎫ	uA3AB
U+A3AC	ꎬ	uA3AC
U+A3AD	ꎭ	uA3AD
U+A3AE	ꎮ	uA3AE
U+A3AF	ꎯ	uA3AF
U+A3B0	ꎰ	uA3B0
U+A3B1	ꎱ	uA3B1
U+A3B2	ꎲ	uA3B2
U+A3B3	ꎳ	uA3B3
U+A3B4	ꎴ	uA3B4
U+A3B5	ꎵ	uA3B5
U+A3B6	ꎶ	uA3B6
U+A3B7	ꎷ	uA3B7
U+A3B8	ꎸ	uA3B8
U+A3B9	ꎹ	uA3B9
U+A3BA	ꎺ	uA3BA
U+A3BB	ꎻ	uA3BB
U+A3BC	ꎼ	uA3BC
U+A3BD	ꎽ	uA3BD
U+A3BE	ꎾ	uA3BE
U+A3BF	ꎿ	uA3BF
U+A3C0	ꏀ	uA3C0
U+A3C1	ꏁ	uA3C1
U+A3C2	ꏂ	uA3C2
U+A3C3	ꏃ	uA3C3
U+A3C4	ꏄ	uA3C4
U+A3C5	ꏅ	uA3C5
U+A3C6	ꏆ	uA3C6
U+A3C7	ꏇ	uA3C7
U+A3C8	ꏈ	uA3C8
U+A3C9	ꏉ	uA3C9
U+A3CA	ꏊ	uA3CA
U+A3CB	ꏋ	uA3CB
U+A3CC	ꏌ	uA3CC
U+A3CD	ꏍ	uA3CD
U+A3CE	ꏎ	uA3CE
U+A3CF	ꏏ	uA3CF
U+A3D0	ꏐ	uA3D0
U+A3D1	ꏑ	uA3D1
U+A3D2	ꏒ	uA3D2
U+A3D3	ꏓ	uA3D3
U+A3D4	ꏔ	uA3D4
U+A3D5	ꏕ	uA3D5
U+A3D6	ꏖ	uA3D6
U+A3D7	ꏗ	uA3D7
U+A3D8	ꏘ	uA3D8
U+A3D9	ꏙ	uA3D9
U+A3DA	ꏚ	uA3DA
U+A3DB	ꏛ	uA3DB
U+A3DC	ꏜ	uA3DC
U+A3DD	ꏝ	uA3DD
U+A3DE	ꏞ	uA3DE
U+A3DF	ꏟ	uA3DF
U+A3E0	ꏠ	uA3E0
U+A3E1	ꏡ	uA3E1
U+A3E2	ꏢ	uA3E2
U+A3E3	ꏣ	uA3E3
U+A3E4	ꏤ	uA3E4
U+A3E5	ꏥ	uA3E5
U+A3E6	ꏦ	uA3E6
U+A3E7	ꏧ	uA3E7
U+A3E8	ꏨ	uA3E8
U+A3E9	ꏩ	uA3E9
U+A3EA	ꏪ	uA3EA
U+A3EB	ꏫ	uA3EB
U+A3EC	ꏬ	uA3EC
U+A3ED	ꏭ	uA3ED
U+A3EE	ꏮ	uA3EE
U+A3EF	ꏯ	uA3EF
U+A3F0	ꏰ	uA3F0
U+A3F1	ꏱ	uA3F1
U+A3F2	ꏲ	uA3F2
U+A3F3	ꏳ	uA3F3
U+A3F4	ꏴ	uA3F4
U+A3F5	ꏵ	uA3F5
U+A3F6	ꏶ	uA3F6
U+A3F7	ꏷ	uA3F7
U+A3F8	ꏸ	uA3F8
U+A3F9	ꏹ	uA3F9
U+A3FA	ꏺ	uA3FA
U+A3FB	ꏻ	uA3FB
U+A3FC	ꏼ	uA3FC
U+A3FD	ꏽ	uA3FD
U+A3FE	ꏾ	uA3FE
U+A3FF	ꏿ	uA3FF
U+A400	ꐀ	uA400
U+A401	ꐁ	uA401
U+A402	ꐂ	uA402
U+A403	ꐃ	uA403
U+A404	ꐄ	uA404
U+A405	ꐅ	uA405
U+A406	ꐆ	uA406
U+A407	ꐇ	uA407
U+A408	ꐈ	uA408
U+A409	ꐉ	uA409
U+A40A	ꐊ	uA40A
U+A40B	ꐋ	uA40B
U+A40C	ꐌ	uA40C
U+A40D	ꐍ	uA40D
U+A40E	ꐎ	uA40E
U+A40F	ꐏ	uA40F
U+A410	ꐐ	uA410
U+A411	ꐑ	uA411
U+A412	ꐒ	uA412
U+A413	ꐓ	uA413
U+A414	ꐔ	uA414
U+A415	ꐕ	uA415
U+A416	ꐖ	uA416
U+A417	ꐗ	uA417
U+A418	ꐘ	uA418
U+A419	ꐙ	uA419
U+A41A	ꐚ	uA41A
U+A41B	ꐛ	uA41B
U+A41C	ꐜ	uA41C
U+A41D	ꐝ	uA41D
U+A41E	ꐞ	uA41E
U+A41F	ꐟ	uA41F
U+A420	ꐠ	uA420
U+A421	ꐡ	uA421
U+A422	ꐢ	uA422
U+A423	ꐣ	uA423
U+A424	ꐤ	uA424
U+A425	ꐥ	uA425
U+A426	ꐦ	uA426
U+A427	ꐧ	uA427
U+A428	ꐨ	uA428
U+A429	ꐩ	uA429
U+A42A	ꐪ	uA42A
U+A42B	ꐫ	uA42B
U+A42C	ꐬ	uA42C
U+A42D	ꐭ	uA42D
U+A42E	ꐮ	uA42E
U+A42F	ꐯ	uA42F
U+A430	ꐰ	uA430
U+A431	ꐱ	uA431
U+A432	ꐲ	uA432
U+A433	ꐳ	uA433
U+A434	ꐴ	uA434
U+A435	ꐵ	uA435
U+A436	ꐶ	uA436
U+A437	ꐷ	uA437
U+A438	ꐸ	uA438
U+A439	ꐹ	uA439
U+A43A	ꐺ	uA43A
U+A43B	ꐻ	uA43B
U+A43C	ꐼ	uA43C
U+A43D	ꐽ	uA43D
U+A43E	ꐾ	uA43E
U+A43F	ꐿ	uA43F
U+A440	ꑀ	uA440
U+A441	ꑁ	uA441
U+A442	ꑂ	uA442
U+A443	ꑃ	uA443
U+A444	ꑄ	uA444
U+A445	ꑅ	uA445
U+A446	ꑆ	uA446
U+A447	ꑇ	uA447
U+A448	ꑈ	uA448
U+A449	ꑉ	uA449
U+A44A	ꑊ	uA44A
U+A44B	ꑋ	uA44B
U+A44C	ꑌ	uA44C
U+A44D	ꑍ	uA44D
U+A44E	ꑎ	uA44E
U+A44F	ꑏ	uA44F
U+A450	ꑐ	uA450
U+A451	ꑑ	uA451
U+A452	ꑒ	uA452
U+A453	ꑓ	uA453
U+A454	ꑔ	uA454
U+A455	ꑕ	uA455
U+A456	ꑖ	uA456
U+A457	ꑗ	uA457
U+A458	ꑘ	uA458
U+A459	ꑙ	uA459
U+A45A	ꑚ	uA45A
U+A45B	ꑛ	uA45B
U+A45C	ꑜ	uA45C
U+A45D	ꑝ	uA45D
U+A45E	ꑞ	uA45E
U+A45F	ꑟ	uA45F
U+A460	ꑠ	uA460
U+A461	ꑡ	uA461
U+A462	ꑢ	uA462
U+A463	ꑣ	uA463
U+A464	ꑤ	uA464
U+A465	ꑥ	uA465
U+A466	ꑦ	uA466
U+A467	ꑧ	uA467
U+A468	ꑨ	uA468
U+A469	ꑩ	uA469
U+A46A	ꑪ	uA46A
U+A46B	ꑫ	uA46B
U+A46C	ꑬ	uA46C
U+A46D	ꑭ	uA46D
U+A46E	ꑮ	uA46E
U+A46F	ꑯ	uA46F
U+A470	ꑰ	uA470
U+A471	ꑱ	uA471
U+A472	ꑲ	uA472
U+A473	ꑳ	uA473
U+A474	ꑴ	uA474
U+A477	ꑷ	uA477
U+A478	ꑸ	uA478
U+A479	ꑹ	uA479
U+A47A	ꑺ	uA47A
U+A47B	ꑻ	uA47B
U+A47C	ꑼ	uA47C
U+A47D	ꑽ	uA47D
U+A47E	ꑾ	uA47E
U+A47F	ꑿ	uA47F
U+A480	ꒀ	uA480
U+A481	ꒁ	uA481
U+A482	ꒂ	uA482
U+A483	ꒃ	uA483
U+A484	ꒄ	uA484
U+A485	ꒅ	uA485
U+A486	ꒆ	uA486
U+A487	ꒇ	uA487
U+A488	ꒈ	uA488
U+A489	ꒉ	uA489
U+A48A	ꒊ	uA48A
U+A48B	ꒋ	uA48B
U+A48C	ꒌ	uA48C
